Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,origin24%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
186,2021.0,Daviyon,McDaniel,IOL,Charleston Southern,0.0,0.0,0.0,0.42,No Data,UNLV,17.0,42.0,64.0,2772864,2021-05-10T00:00:00.000Z,0.0,0.0,Immediate
470,2021.0,Garrett,Beckman,IOL,UNLV,17.0,42.0,64.0,0.42,2772864,Colorado Mesa,0.0,0.0,0.0,No Data,2021-02-23T00:00:00.000Z,0.0,2.0,TBD
506,2021.0,Sir Oliver,Everett,ATH,UNLV,17.0,42.0,64.0,0.25,2772864,none,0.0,0.0,0.0,none,2021-02-09T00:00:00.000Z,0.0,2.0,TBD
581,2021.0,Tate,Martell,QB,Miami,57.99999999999999,42.0,54.0,0.0,1471894,UNLV,17.0,42.0,64.0,2772864,2021-01-27T00:00:00.000Z,0.0,4.0,Immediate
583,2021.0,Tyleek,Collins,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2021-01-27T00:00:00.000Z,0.0,3.0,TBD
670,2021.0,Kenyon,Oblad,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Utah Tech,0.0,0.0,0.0,No Data,2021-01-19T00:00:00.000Z,0.0,3.0,TBD
683,2021.0,Jalen,Graves,DL,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2021-01-18T00:00:00.000Z,0.0,2.0,TBD
784,2021.0,Jordan,Jakes,WR,Indiana,17.0,33.0,25.0,0.0,13631160,UNLV,17.0,42.0,64.0,2772864,2021-01-09T00:00:00.000Z,0.0,3.0,Immediate
794,2021.0,Jeremy,Clark,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2021-01-08T00:00:00.000Z,0.0,2.0,TBD
470,2021.0,Garrett,Beckman,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Colorado Mesa,0.0,0.0,0.0,0,2021-02-23T00:00:00.000Z,0.0,2.0,TBD
506,2021.0,Sir Oliver,Everett,ATH,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2021-02-09T00:00:00.000Z,0.0,2.0,TBD
581,2021.0,Tate,Martell,QB,Miami,57.99999999999999,42.0,54.0,0.0,0,UNLV,17.0,42.0,64.0,2772864,2021-01-27T00:00:00.000Z,0.0,4.0,Immediate
583,2021.0,Tyleek,Collins,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2021-01-27T00:00:00.000Z,0.0,3.0,TBD
670,2021.0,Kenyon,Oblad,QB,UNLV,17.0,42.0,64.0,0.0,2772864,Utah Tech,0.0,0.0,0.0,0,2021-01-19T00:00:00.000Z,0.0,3.0,TBD
683,2021.0,Jalen,Graves,DL,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2021-01-18T00:00:00.000Z,0.0,2.0,TBD
784,2021.0,Jordan,Jakes,WR,Indiana,17.0,33.0,25.0,0.0,13631160,UNLV,17.0,42.0,64.0,2772864,2021-01-09T00:00:00.000Z,0.0,3.0,Immediate
794,2021.0,Jeremy,Clark,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2021-01-08T00:00:00.000Z,0.0,2.0,TBD
823,2021.0,Jamaal,Neal,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2021-01-06T00:00:00.000Z,0.0,2.0,TBD
866,2021.0,Jayvaun,Wilson,RB,Oregon,71.0,77.0,86.0,0.0,10623807,UNLV,17.0,42.0,64.0,2772864,2021-01-04T00:00:00.000Z,0.0,3.0,TBD
915,2021.0,Mekhi,Stevenson,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Albany,0.0,0.0,0.0,No Data,2020-12-31T00:00:00.000Z,0.0,3.0,TBD
932,2021.0,Connor,Murphy,DL,USC,0.0,0.0,0.0,0.0,11772392,UNLV,17.0,42.0,64.0,2772864,2020-12-29T00:00:00.000Z,0.0,4.0,Immediate
973,2021.0,Randal,Grimes,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Weber State,0.0,0.0,0.0,No Data,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
985,2021.0,Marckell,Grayson,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
1004,2021.0,Greg,Francis,CB,UNLV,17.0,42.0,64.0,0.0,2772864,North Texas,46.0,50.0,42.0,607493,2020-12-21T00:00:00.000Z,0.0,3.0,TBD
823,2021.0,Jamaal,Neal,TE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2021-01-06T00:00:00.000Z,0.0,2.0,TBD
866,2021.0,Jayvaun,Wilson,RB,Oregon,71.0,77.0,86.0,0.0,10623807,UNLV,17.0,42.0,64.0,2772864,2021-01-04T00:00:00.000Z,0.0,3.0,TBD
915,2021.0,Mekhi,Stevenson,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Albany,0.0,0.0,0.0,0,2020-12-31T00:00:00.000Z,0.0,3.0,TBD
932,2021.0,Connor,Murphy,DL,USC,0.0,0.0,0.0,0.0,0,UNLV,17.0,42.0,64.0,2772864,2020-12-29T00:00:00.000Z,0.0,4.0,Immediate
973,2021.0,Randal,Grimes,WR,UNLV,17.0,42.0,64.0,0.0,2772864,Weber State,0.0,0.0,0.0,0,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
985,2021.0,Marckell,Grayson,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2020-12-22T00:00:00.000Z,0.0,3.0,TBD
1004,2021.0,Greg,Francis,CB,UNLV,17.0,42.0,64.0,0.0,2772864,North Texas,46.0,50.0,42.0,607493,2020-12-21T00:00:00.000Z,0.0,3.0,TBD
1353,2021.0,Dylan,Downing,RB,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,69.0,56.99999999999999,33.0,5510579,2020-11-10T00:00:00.000Z,0.0,3.0,TBD
1376,2021.0,Jamal,Holloway,EDGE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2020-11-05T00:00:00.000Z,0.0,3.0,TBD
1491,2021.0,Kylan,Wilborn,EDGE,Arizona,8.0,42.0,77.0,0.0,6414683,UNLV,17.0,42.0,64.0,2772864,2020-09-23T00:00:00.000Z,0.0,3.0,Immediate
1353,2021.0,Dylan,Downing,RB,UNLV,17.0,42.0,64.0,0.0,2772864,Purdue,69.0,56.99999999999999,33.0,5510579,2020-11-10T00:00:00.000Z,0.0,3.0,TBD
1376,2021.0,Jamal,Holloway,EDGE,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2020-11-05T00:00:00.000Z,0.0,3.0,TBD
1491,2021.0,Kylan,Wilborn,EDGE,Arizona,8.0,42.0,77.0,0.0,6414683,UNLV,17.0,42.0,64.0,2772864,2020-09-23T00:00:00.000Z,0.0,3.0,Immediate
1765,2021.0,Justice,Oluwaseun,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Miami,57.99999999999999,42.0,54.0,1471894,2021-01-20T00:00:00.000Z,0.84,3.0,TBD
1819,2022.0,Justin,Rogers,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2022-01-24T18:53:00.000Z,0.84,3.0,Immediate
1765,2021.0,Justice,Oluwaseun,IOL,UNLV,17.0,42.0,64.0,0.0,2772864,Miami,57.99999999999999,42.0,54.0,0,2021-01-20T00:00:00.000Z,0.84,3.0,TBD
1819,2022.0,Justin,Rogers,QB,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2022-01-24T18:53:00.000Z,0.84,3.0,Immediate
2143,2022.0,Malik,Wesley,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2022-01-19T01:41:00.000Z,0.0,2.0,Immediate
2174,2022.0,Cobe,Bryant,OT,SMU,67.0,54.0,79.0,0.0,10946275,UNLV,17.0,42.0,64.0,2772864,2021-11-29T15:31:00.000Z,0.81,3.0,Immediate
2217,2022.0,Jaylen,Lane,S,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,none,2022-04-29T16:03:00.000Z,0.0,3.0,Immediate
2222,2022.0,Marshall,Nichols,P,Mississippi State,54.0,69.0,42.0,0.0,6467166,UNLV,17.0,42.0,64.0,2772864,2022-04-27T13:50:00.000Z,0.0,0.0,Immediate
2143,2022.0,Malik,Wesley,WR,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2022-01-19T01:41:00.000Z,0.0,2.0,Immediate
2174,2022.0,Cobe,Bryant,OT,SMU,67.0,54.0,79.0,0.0,0,UNLV,17.0,42.0,64.0,2772864,2021-11-29T15:31:00.000Z,0.81,3.0,Immediate
2217,2022.0,Jaylen,Lane,S,UNLV,17.0,42.0,64.0,0.0,2772864,none,0.0,0.0,0.0,0,2022-04-29T16:03:00.000Z,0.0,3.0,Immediate
